2026-09-22 12:58:26.563 +03:30 [WRN] The foreign key property 'Product.BrandId1' was created in shadow state because a conflicting property with the simple name 'BrandId' exists in the entity type, but is either not mapped, is already used for another relationship, or is incompatible with the associated primary key type. See https://aka.ms/efcore-relationships for information on mapping relationships in EF Core. 
2026-09-22 12:58:26.587 +03:30 [WRN] The foreign key property 'Product.CategoryId1' was created in shadow state because a conflicting property with the simple name 'CategoryId' exists in the entity type, but is either not mapped, is already used for another relationship, or is incompatible with the associated primary key type. See https://aka.ms/efcore-relationships for information on mapping relationships in EF Core. 
2026-09-22 12:58:27.401 +03:30 [INF] Storage directories are ready. ImagesPath: D:\porograming\Rider\AutoSpare\AutoSpare.Web\wwwroot\Uploads\Images, BackupPath: D:\AutoSpareBackups 
2026-09-22 12:58:27.735 +03:30 [INF] Home page loaded at "2026-09-22T12:58:27.7334371+03:30" 
2026-09-22 12:58:27.739 +03:30 [WRN] This is a test warning from Home page. 
2026-09-22 12:58:27.792 +03:30 [INF] HTTP GET / responded 200 in 137.6738 ms 
2026-09-22 12:58:27.829 +03:30 [INF] HTTP GET /Components/Account/Shared/PasskeySubmit.razor.js responded 404 in 7.0313 ms 
2026-09-22 12:58:27.843 +03:30 [INF] HTTP GET /AutoSpare.Web.26ps9tvwk8.styles.css responded 200 in 20.7292 ms 
2026-09-22 12:58:27.851 +03:30 [INF] HTTP GET /_framework/blazor.web.9hsif5t8mt.js responded 200 in 28.5023 ms 
2026-09-22 12:58:27.874 +03:30 [INF] HTTP GET /not-found responded 404 in 19.7766 ms 
2026-09-22 12:58:27.876 +03:30 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.43atpzeawx.css responded 200 in 53.8678 ms 
2026-09-22 12:58:27.888 +03:30 [INF] HTTP GET /Components/Layout/ReconnectModal.abdmv1u4y3.razor.js responded 200 in 65.1866 ms 
2026-09-22 12:58:27.899 +03:30 [INF] HTTP GET /app.khy4lop6wu.css responded 200 in 76.9871 ms 
2026-09-22 12:58:27.975 +03:30 [INF] HTTP GET /favicon.png responded 200 in 26.8327 ms 
2026-09-22 12:58:48.615 +03:30 [INF] HTTP GET /login responded 200 in 34.2421 ms 
2026-09-22 12:58:48.630 +03:30 [INF] HTTP GET /app.khy4lop6wu.css responded 200 in 2.1095 ms 
2026-09-22 12:58:48.630 +03:30 [INF] HTTP GET /AutoSpare.Web.26ps9tvwk8.styles.css responded 200 in 1.2291 ms 
2026-09-22 12:58:48.631 +03:30 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.43atpzeawx.css responded 200 in 2.5118 ms 
2026-09-22 12:58:48.634 +03:30 [INF] HTTP GET /Components/Layout/ReconnectModal.abdmv1u4y3.razor.js responded 200 in 2.1085 ms 
2026-09-22 12:58:48.634 +03:30 [INF] HTTP GET /Components/Account/Shared/PasskeySubmit.razor.js responded 404 in 0.2422 ms 
2026-09-22 12:58:48.636 +03:30 [INF] HTTP GET /_framework/blazor.web.9hsif5t8mt.js responded 304 in 1.2062 ms 
2026-09-22 12:58:48.646 +03:30 [INF] HTTP GET /not-found responded 404 in 4.2628 ms 
2026-09-22 12:58:56.026 +03:30 [INF] HTTP POST /api/auth/login responded 302 in 295.4249 ms 
2026-09-22 12:58:56.035 +03:30 [INF] HTTP GET /login responded 200 in 4.1430 ms 
2026-09-22 12:58:56.045 +03:30 [INF] HTTP GET /_framework/blazor.web.9hsif5t8mt.js responded 304 in 0.2366 ms 
2026-09-22 12:58:56.045 +03:30 [INF] HTTP GET /Components/Account/Shared/PasskeySubmit.razor.js responded 404 in 0.2515 ms 
2026-09-22 12:58:56.045 +03:30 [INF] HTTP GET /Components/Layout/ReconnectModal.abdmv1u4y3.razor.js responded 200 in 1.0580 ms 
2026-09-22 12:58:56.045 +03:30 [INF] HTTP GET /app.khy4lop6wu.css responded 200 in 1.0580 ms 
2026-09-22 12:58:56.048 +03:30 [INF] HTTP GET /AutoSpare.Web.26ps9tvwk8.styles.css responded 200 in 3.1945 ms 
2026-09-22 12:58:56.048 +03:30 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.43atpzeawx.css responded 200 in 3.4028 ms 
2026-09-22 12:58:56.052 +03:30 [INF] HTTP GET /not-found responded 404 in 5.9213 ms 
2026-09-22 13:01:51.170 +03:30 [INF] HTTP POST /api/auth/login responded 302 in 95.6093 ms 
2026-09-22 13:01:51.179 +03:30 [INF] HTTP GET /login responded 200 in 3.5692 ms 
2026-09-22 13:01:51.197 +03:30 [INF] HTTP GET /app.khy4lop6wu.css responded 200 in 1.0741 ms 
2026-09-22 13:01:51.198 +03:30 [INF] HTTP GET /AutoSpare.Web.26ps9tvwk8.styles.css responded 200 in 1.6405 ms 
2026-09-22 13:01:51.198 +03:30 [INF] HTTP GET /_framework/blazor.web.9hsif5t8mt.js responded 304 in 0.1982 ms 
2026-09-22 13:01:51.240 +03:30 [INF] HTTP GET /Components/Layout/ReconnectModal.abdmv1u4y3.razor.js responded 200 in 42.3597 ms 
2026-09-22 13:01:51.241 +03:30 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.43atpzeawx.css responded 200 in 42.8451 ms 
2026-09-22 13:01:51.256 +03:30 [INF] HTTP GET /Components/Account/Shared/PasskeySubmit.razor.js responded 404 in 0.1445 ms 
2026-09-22 13:01:51.261 +03:30 [INF] HTTP GET /not-found responded 404 in 4.3226 ms 
2026-09-22 13:01:53.660 +03:30 [INF] HTTP GET /login responded 200 in 1.8048 ms 
2026-09-22 13:01:53.678 +03:30 [INF] HTTP GET /_framework/blazor.web.9hsif5t8mt.js responded 304 in 0.4339 ms 
2026-09-22 13:01:53.689 +03:30 [INF] HTTP GET /Components/Account/Shared/PasskeySubmit.razor.js responded 404 in 1.5548 ms 
2026-09-22 13:01:53.691 +03:30 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.43atpzeawx.css responded 200 in 13.6624 ms 
2026-09-22 13:01:53.690 +03:30 [INF] HTTP GET /not-found responded 404 in 1.2697 ms 
2026-09-22 13:01:53.694 +03:30 [INF] HTTP GET /AutoSpare.Web.26ps9tvwk8.styles.css responded 200 in 1.8160 ms 
2026-09-22 13:01:53.691 +03:30 [INF] HTTP GET /Components/Layout/ReconnectModal.abdmv1u4y3.razor.js responded 200 in 2.1849 ms 
2026-09-22 13:01:53.698 +03:30 [INF] HTTP GET /app.khy4lop6wu.css responded 200 in 8.7312 ms 
2026-09-22 13:01:53.745 +03:30 [INF] HTTP GET /favicon.png responded 304 in 0.4557 ms 
2026-09-22 13:01:54.779 +03:30 [INF] HTTP GET /login responded 200 in 1.9828 ms 
2026-09-22 13:01:54.794 +03:30 [INF] HTTP GET /Components/Account/Shared/PasskeySubmit.razor.js responded 404 in 0.0329 ms 
2026-09-22 13:01:54.795 +03:30 [INF] HTTP GET /app.khy4lop6wu.css responded 200 in 1.1231 ms 
2026-09-22 13:01:54.795 +03:30 [INF] HTTP GET /AutoSpare.Web.26ps9tvwk8.styles.css responded 200 in 1.5330 ms 
2026-09-22 13:01:54.795 +03:30 [INF] HTTP GET /not-found responded 404 in 1.2100 ms 
2026-09-22 13:01:54.796 +03:30 [INF] HTTP GET /_framework/blazor.web.9hsif5t8mt.js responded 304 in 0.2411 ms 
2026-09-22 13:01:54.804 +03:30 [INF] HTTP GET /Components/Layout/ReconnectModal.abdmv1u4y3.razor.js responded 200 in 2.9297 ms 
2026-09-22 13:01:54.805 +03:30 [INF] HTTP GET /lib/bootstrap/dist/css/bootstrap.min.43atpzeawx.css responded 200 in 9.9156 ms 
2026-09-22 13:01:54.835 +03:30 [INF] HTTP GET /favicon.png responded 304 in 0.1351 ms 
2026-09-22 13:01:55.426 +03:30 [INF] HTTP GET /login responded 200 in 1.1288 ms 
2026-09-22 13:01:55.443 +03:30 [INF] HTTP GET /Components/Layout/ReconnectModal.abdmv1u4y3.razor.js responded 200 in 1.2130 ms 
